25/02/2019 12:04
Time (s), Time step (s),X dist,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel
283559.100000,0.100000,0.000000,0.000000,0.000000,56.838889,160.000000,10.000000,10.000000,10.000000,10.000000
286827.200000,0.101000,0.000000,0.000000,0.000000,56.834722,170.000000,10.000000,10.000000,10.000000,10.000000
290095.500000,0.099000,0.000000,0.000000,0.000000,56.833333,170.000000,10.000000,10.000000,10.000000,10.000000
293364.000000,0.101000,0.000000,0.000000,0.000000,56.830556,180.000000,10.000000,10.000000,10.000000,10.000000
296632.700000,0.100000,0.000000,0.000000,0.000000,56.827778,180.000000,10.000000,10.000000,10.000000,10.000000
299901.600000,0.100000,0.000000,0.000000,0.000000,56.825000,190.000000,10.000000,10.000000,10.000000,10.000000
303170.700000,0.100000,0.000000,0.000000,0.000000,56.822222,190.000000,10.000000,10.000000,10.000000,10.000000
306440.000000,0.100000,0.000000,0.000000,0.000000,56.819444,200.000000,10.000000,10.000000,10.000000,10.000000
309709.500000,0.101000,0.000000,0.000000,0.000000,56.815278,200.000000,10.000000,10.000000,10.000000,10.000000
312979.296000,0.099000,0.000000,0.000000,0.000000,56.812500,210.000000,10.000000,10.000000,10.000000,10.000000
316249.100000,0.101000,0.000000,0.000000,0.000000,56.811111,210.000000,10.000000,10.000000,10.000000,10.000000
319519.200000,0.100000,0.000000,0.000000,0.000000,56.805556,220.000000,10.000000,10.000000,10.000000,10.000000
322789.599000,0.100000,0.000000,0.000000,0.000000,56.802778,220.000000,10.000000,10.000000,10.000000,10.000000
326060.000000,0.101000,0.000000,0.000000,0.000000,56.800000,230.000000,10.000000,10.000000,10.000000,10.000000
329330.700000,0.099000,0.000000,0.000000,0.000000,56.795833,230.000000,10.000000,10.000000,10.000000,10.000000
332601.600000,0.101000,0.000000,0.000000,0.000000,56.793056,240.000000,10.000000,10.000000,10.000000,10.000000
335872.803000,0.099000,0.000000,0.000000,0.000000,56.790278,240.000000,10.000000,10.000000,10.000000,10.000000
339144.000000,0.101000,0.000000,0.000000,0.000000,56.784722,250.000000,10.000000,10.000000,10.000000,10.000000
342415.500000,0.100000,0.000000,0.000000,0.000000,56.781944,250.000000,10.000000,10.000000,10.000000,10.000000
