Time (ms),X dist,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel,,Test Time,25/02/2019
175725528,0,0,0,0.020833,10000,10,10,1000,1000,,,
176850080,0,0,0,-0.168056,10000,10,10,1000,1000,,,
177974874,0,0,0,-0.356944,10000,10,10,1000,1000,,,
179100072,0,0,0,-0.547222,10000,10,10,1000,1000,,,
180225514,0,0,0,-0.7375,10000,10,10,1000,1000,,,
181351364,0,0,0,-0.927778,10000,10,10,1000,1000,,,
182477130,0,0,0,-1.119444,10000,10,10,1000,1000,,,
183603304,0,0,0,-1.313889,10000,10,10,1000,1000,,,
184729889,0,0,0,-1.502778,10000,10,10,1000,1000,,,
185856888,0,0,0,-1.698611,10000,10,10,1000,1000,,,
186983797,0,0,0,-1.8875,10000,10,10,1000,1000,,,
188110950,0,0,0,-2.077778,10000,10,10,1000,1000,,,
189238518,0,0,0,-2.269444,10000,10,10,1000,1000,,,
190366332,0,0,0,-2.463889,10000,10,10,1000,1000,,,
191494738,0,0,0,-2.658333,10000,10,10,1000,1000,,,
192623220,0,0,0,-2.847222,10000,10,10,1000,1000,,,
193751775,0,0,0,-3.043056,10000,10,10,1000,1000,,,
194880576,0,0,0,-3.2375,10000,10,10,1000,1000,,,
196009623,0,0,0,-3.427778,10000,10,10,1000,1000,,,
197139094,0,0,0,-3.620833,10000,10,10,1000,1000,,,
198268813,0,0,0,-3.818056,10000,10,10,1000,1000,,,
199398780,0,0,0,-4.008333,10000,10,10,1000,1000,,,
200528995,0,0,0,-4.206944,10000,10,10,1000,1000,,,
201659458,0,0,0,-4.397222,10000,10,10,1000,1000,,,
202790535,0,0,0,-4.590278,10000,10,10,1000,1000,,,
203921496,0,0,0,-4.7875,10000,10,10,1000,1000,,,
205053075,0,0,0,-4.980556,10000,10,10,1000,1000,,,
206184534,0,0,0,-5.177778,10000,10,10,1000,1000,,,
207316428,0,0,0,-5.373611,10000,10,10,1000,1000,,,
208448572,0,0,0,-5.568056,10000,10,10,1000,1000,,,
209580966,0,0,0,-5.768056,10000,10,10,1000,1000,,,
210713610,0,0,0,-5.956944,10000,10,10,1000,1000,,,
211846695,0,0,0,-6.159722,10000,10,10,1000,1000,,,
212980032,0,0,0,-6.354167,10000,10,10,1000,1000,,,
214113428,0,0,0,-6.547222,10000,10,10,1000,1000,,,
215247268,0,0,0,-6.747222,10000,10,10,1000,1000,,,
216381360,0,0,0,-6.938889,10000,10,10,1000,1000,,,
217515704,0,0,0,-7.1375,10000,10,10,1000,1000,,,
218650300,0,0,0,-7.338889,10000,10,10,1000,1000,,,
219785148,0,0,0,-7.533333,10000,10,10,1000,1000,,,
220920447,0,0,0,-7.729167,10000,10,10,1000,1000,,,
222055800,0,0,0,-7.929167,10000,10,10,1000,1000,,,
223191807,0,0,0,-8.129167,10000,10,10,1000,1000,,,
224327666,0,0,0,-8.327778,10000,10,10,1000,1000,,,
225463980,-0.000732,0,0,-8.526389,10000,10,10,1000,1000,,,
226600548,0,0,0,-8.722222,10000,10,10,1000,1000,,,
227737370,0,0,0,-8.918056,10000,10,10,1000,1000,,,
228874858,0,0,0,-9.116667,10000,10,10,1000,1000,,,
