25/02/2019 12:00,,,,,,,,,,,,
Time (s),Time step (s),X dist,X duty,X freq,Y dist,Y velocity,Y acc,Y freq, X accel, X decel, Y accel, Y decel
476719.2,0.1,0,0,0,56.558333,565.58333,-0.6945,460,10,10,10,10
479999.1,0.101,0,0,0,56.552778,559.928495,-55.98846486,460,10,10,10,10
483279.2,0.099,0,0,0,56.545833,571.1700303,113.5508611,470,10,10,10,10
486559.649,0.1,0,0,0,56.5375,565.375,-57.95030303,470,10,10,10,10
489840,0.101,0,0,0,56.530556,559.7084752,-56.10420547,480,10,10,10,10
493120.7,0.1,0,0,0,56.523611,565.23611,55.27634752,480,10,10,10,10
496401.6,0.1,0,0,0,56.515278,565.15278,-0.8333,490,10,10,10,10
499682.7,0.1,0,0,0,56.506944,565.06944,-0.8334,490,10,10,10,10
502964,0.1,0,0,0,56.5,565,-0.6944,500,10,10,10,10
506245.655,0.1,0,0,0,56.493056,564.93056,-0.6944,500,10,10,10,10
509527.2,0.101,0,0,0,56.486111,559.2684257,-56.06073522,510,10,10,10,10
512809.1,0.1,0,0,0,56.476389,564.76389,54.95464257,510,10,10,10,10
516091.2,0.1,0,0,0,56.469444,564.69444,-0.6945,520,10,10,10,10
519373.5,0.1,0,0,0,56.461111,564.61111,-0.8333,520,10,10,10,10
522656,0.1,0,0,0,56.454167,564.54167,-0.6944,530,10,10,10,10
525938.7,0.1,0,0,0,56.445833,564.45833,-0.8334,530,10,10,10,10
529221.6,0.101,0,0,0,56.436111,558.7733762,-56.28667091,540,10,10,10,10
532504.7,0.1,0,0,0,56.427778,564.27778,55.04403762,540,10,10,10,10
535788,0.099,0,0,0,56.419444,569.8933737,56.72316906,550,10,10,10,10
539071.665,0.1,0,0,0,56.4125,564.125,-57.68373737,550,10,10,10,10
542355.366,0.101,0,0,0,56.404167,558.457099,-56.11783159,560,10,10,10,10
545639.1,0.101,0,0,0,56.395833,558.3745842,-0.816978728,560,10,10,10,10
548923.2,0.099,0,0,0,56.386111,569.5566768,112.9504304,570,10,10,10,10
552207.669,0.1,0,0,0,56.377778,563.77778,-57.78896768,570,10,10,10,10
555492,0.101,0,0,0,56.368056,558.0995644,-56.21995687,580,10,10,10,10
558776.7,0.1,0,0,0,56.359722,563.59722,54.97655644,580,10,10,10,10
562061.6,0.1,0,0,0,56.35,563.5,-0.9722,590,10,10,10,10
565346.7,0.1,0,0,0,56.341667,563.41667,-0.8333,590,10,10,10,10
568632,0.1,0,0,0,56.333333,563.33333,-0.8334,600,10,10,10,10
571917.5,0.1,0,0,0,56.323611,563.23611,-0.9722,600,10,10,10,10
575203.2,0.101,0,0,0,56.315278,557.5770099,-56.03069405,610,10,10,10,10
578489.1,0.1,0,0,0,56.305556,563.05556,54.78550099,610,10,10,10,10
581775.2,0.1,0,0,0,56.295833,562.95833,-0.9723,620,10,10,10,10
585061.5,0.1,0,0,0,56.286111,562.86111,-0.9722,620,10,10,10,10
588348,0.1,0,0,0,56.276389,562.76389,-0.9722,630,10,10,10,10
591634.7,0.1,0,0,0,56.266667,562.66667,-0.9722,630,10,10,10,10
594921.782,0.1,0,0,0,56.256944,562.56944,-0.9723,640,10,10,10,10
598208.7,0.101,0,0,0,56.247222,556.9031881,-56.10150377,640,10,10,10,10
601496,0.1,0,0,0,56.2375,562.375,54.71811881,650,10,10,10,10
604783.5,0.1,0,0,0,56.226389,562.26389,-1.1111,650,10,10,10,10
608071.2,0.1,0,0,0,56.216667,562.16667,-0.9722,660,10,10,10,10
611359.1,0.1,0,0,0,56.206944,562.06944,-0.9723,660,10,10,10,10
614647.388,0.1,0,0,0,56.195833,561.95833,-1.1111,670,10,10,10,10
617935.689,0.101,0,0,0,56.186111,556.2981287,-56.0415969,670,10,10,100,10
621224,0.1,0,0,0,56.176389,561.76389,54.65761287,770,10,10,100,10
624512.7,0.1,0,0,0,56.1625,561.625,-1.3889,770,10,10,100,10
627801.6,0.1,0,0,0,56.15,561.5,-1.25,870,10,10,100,10
631090.7,0.1,0,0,0,56.1375,561.375,-1.25,870,10,10,100,10
634380.194,0.1,0,0,0,56.123611,561.23611,-1.3889,970,10,10,100,10
637669.5,0.101,0,0,0,56.108333,555.5280495,-56.51545045,970,10,10,100,0
640959.396,0.099,0,0,0,56.094444,566.6105455,111.9444035,1070,10,10,100,0
644249.1,0.101,0,0,0,56.077778,555.2255248,-112.7229772,1070,10,10,100,0
647539.2,0.1,0,0,0,56.059722,560.59722,53.71695248,1170,10,10,100,0
650829.5,0.1,0,0,0,56.041667,560.41667,-1.8055,1170,10,10,100,0
654120,0.1,0,0,0,56.025,560.25,-1.6667,1270,10,10,100,0
