14/02/2019 12:03
Time (ms)	X dist	X duty	X freq	Y dist	Y freq	
8400.000000	0.000000	0.000000	0.000000	-57.291819	100000.000000
8450.000000	0.000000	0.000000	0.000000	-55.825958	100000.000000
8500.000000	0.000000	0.000000	0.000000	-54.379556	100000.000000
8550.000000	0.000000	0.000000	0.000000	-52.894236	100000.000000
8600.000000	0.000000	0.000000	0.000000	-51.428375	100000.000000
8650.000000	0.000000	0.000000	0.000000	-49.969000	100000.000000
8700.000000	0.000000	0.000000	0.000000	-48.490167	100000.000000
8750.000000	0.000000	0.000000	0.000000	-47.017819	100000.000000
8800.000000	0.000000	0.000000	0.000000	-45.558444	100000.000000
8850.000000	0.000000	0.000000	0.000000	-44.079611	100000.000000
8900.000000	0.000000	0.000000	0.000000	-42.607264	100000.000000
8950.000000	0.000000	0.000000	0.000000	-41.141403	100000.000000
9000.000000	0.000000	0.000000	0.000000	-39.669056	100000.000000
9050.000000	0.000000	0.000000	0.000000	-38.196708	100000.000000
9100.000000	0.000000	0.000000	0.000000	-36.724361	100000.000000
9150.000000	0.000000	0.000000	0.000000	-35.245528	100000.000000
9200.000000	0.000000	0.000000	0.000000	-33.779667	100000.000000
9250.000000	0.000000	0.000000	0.000000	-32.313806	100000.000000
9300.000000	0.000000	0.000000	0.000000	-30.847944	100000.000000
9350.000000	0.000000	0.000000	0.000000	-29.382083	100000.000000
9400.000000	0.000000	0.000000	0.000000	-27.909736	100000.000000
9450.000000	0.000000	0.000000	0.000000	-26.430903	100000.000000
9500.000000	0.000000	0.000000	0.000000	-24.952069	100000.000000
9550.000000	0.000000	0.000000	0.000000	-23.512153	100000.000000
9600.000000	0.000000	0.000000	0.000000	-22.046292	100000.000000
9650.000000	0.000000	0.000000	0.000000	-20.573944	100000.000000
9700.000000	0.000000	0.000000	0.000000	-19.101597	100000.000000
9750.000000	0.000000	0.000000	0.000000	-17.629250	100000.000000
9800.000000	0.000000	0.000000	0.000000	-16.176361	100000.000000
9850.000000	0.000000	0.000000	0.000000	-14.710500	100000.000000
9900.000000	0.000000	0.000000	0.000000	-13.244639	100000.000000
9950.000000	0.000000	0.000000	0.000000	-11.778778	100000.000000
10000.000000	0.000000	0.000000	0.000000	-10.306431	100000.000000
10050.000000	0.000000	0.000000	0.000000	-8.834083	100000.000000
10100.000000	0.000000	0.000000	0.000000	-7.355250	100000.000000
10150.000000	0.000000	0.000000	0.000000	-5.850472	100000.000000
10200.000000	0.000000	0.000000	0.000000	-4.384611	100000.000000
10250.000000	0.000000	0.000000	0.000000	-2.918750	100000.000000
10300.000000	0.000000	0.000000	0.000000	-1.485319	100000.000000
10350.000000	0.000000	0.000000	0.000000	-0.012972	100000.000000
10400.000000	0.000000	0.000000	0.000000	1.459375	100000.000000
10450.000000	0.000000	0.000000	0.000000	2.938208	100000.000000
10500.000000	0.000000	0.000000	0.000000	4.410556	100000.000000
